,1088.HK,HILS.L,HSX.L,3.HK,ASL.L,PHP.L,MDC.L,HAS.L,SAFE.L,QLT.L,AGT.L,MKS.L,388.HK,HMSO.L,SIG.L,OXIG.L,DPLM.L,SXS.L,WKP.L,EWI.L,2313.HK,VOF.L,RAT.L,POG.L,CNE.L,BEZ.L,1177.HK,UKCM.L,BCPT.L,PZC.L,SPT.L,IHP.L,857.HK,KAZ.L,VEIL.L,PFG.L,ELM.L,17.HK,1093.HK,FRAS.L,888.L,STOB.L,TUI.L,SBRE.L,PPH.L,BRW.L,PETS.L,CAPC.L,OSB.L,FGT.L,GFS.L,JUST.L,JAM.L,AML.L,SONG.L,JII.L,939.HK,FXPO.L,CLSN.L,UTG.L,2319.HK,WEIR.L,SYNT.L,FCIT.L,GRG.L,EQN.L,BAKK.L,IPO.L,INVP.L,1044.HK,LMP.L,RNK.L,JMG.L,2018.HK,MCRO.L,FCH.L,HRI.L,ENOG.L,POLY.L,HYVE.L,IEM.L,CBG.L,JLEN.L,BBGI.L,EZJ.L,66.HK,IGG.L,2382.HK,TPK.L,EMG.L,NEX.L,GAW.L,GCP.L,MYI.L,175.HK,MARS.L,VSVS.L,AVON.L,11.HK,PLUS.L,INPP.L,PAGE.L,267.HK,1997.HK,ASHM.L,BAG.L,JFJ.L,AVST.L,TALK.L,AGR.L,HSV.L,SNR.L,CLI.L,HWDN.L,BRSC.L,3988.HK,WWH.L,TED.L,CSP.L,BGFD.L,AJB.L,1928.HK,BIFF.L,BGSC.L,HVPE.L,FCSS.L,GFTU.L,SOI.L,ICP.L,2628.HK,PAY.L,VTY.L,PTEC.L,JUP.L,BAB.L,RSE.L,SMWH.L,SHB.L,FSFL.L,GNC.L,LIO.L,TIFS.L,AMGO.L,GPOR.L,CTY.L,AAF.L,CEY.L,CSH.L,288.HK,PNN.L,IBST.L,5.HK,WMH.L,CCR.L,BOY.L,SCT.L,APAX.L,FEV.L,UDG.L,AVV.L,JET.L,RDW.L,2007.HK,FRES.L,GYS.L,AGK.L,SYNC.L,CKN.L,NRR.L,FSJ.L,GNS.L,TRIG.L,1.HK,TBCG.L,HOC.L,FIN.L,HTG.L,HIK.L,DLN.L,TEP.L,6.HK,BBY.L,2388.HK,12.HK,INDV.L,GLO.L,SCIN.L,SAGA.L,KGF.L,MRC.L,SMP.L,ICGT.L,1398.HK,2.HK,FDM.L,INTU,CINE.L,COA.L,SSPG.L,CHG.L,HFG.L,BYG.L,BME.L,SSON.L,VCT.L,101.HK,PNL.L,FOUR.L,TLW.L,PLP.L,BBH.L,CLDN.L,1113.HK,GRI.L,3IN.L,CCL.L,ATT.L,ERM.L,ROR.L,MNKS.L,CARD.L,HSL.L,PSSL.L,LRE.L,NETW.L,BBOX.L,MONY.L,HGT.L,16.HK,FSV.L,CTEC.L,BGEO.L,GFRD.L,FGP.L,1038.HK,RMG.L,WOSG.L,TEM.L,CWK.L,MGNS.L,SDP.L,3328.HK,823.HK,XPP.L,SGC.L,WIZZ.L,JDW.L,IWG.L,N91.L,CNA.L,IMI.L
2019-07-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669330867300191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05877105678549529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05614314512260709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304271100833393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003782465730741522,0.0,0.0,0.0,0.0,0.07067237488387329,0.06789001651333194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059580135562571,0.0,0.0,0.0,0.0,0.0,0.0,0.060224468651900155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586146468808791,0.0,0.0,0.0153858690512043,0.0,0.0,0.0,0.0,0.0,0.0,0.050453149007316477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022669521550609632,0.052733507993957804,0.0,0.0,0.0,0.0,0.010640088496095526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666603311334429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06049776363896073,0.0,0.0,0.046393110719542094,0.0,0.0,0.0,0.0,0.0,0.0,8.981102072359165e-05,0.0,0.0,0.0,0.05536368586543495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639988779734827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06598545178987622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05913634943789991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03923745323362468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004242568929711358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048706038507149114,0.0,0.0,0.0,0.0,0.06075407379492869,0.0675183782311972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06518016300809273,0.0,0.0,0.0,0.0,0.0,0.0,0.017697087769043773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0651588405193491,0.0,0.0,0.02632275751754775,0.0,0.0,0.0,0.0,0.0,0.0,0.056182149015419534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013085548512080478,0.0724125638088719,0.0,0.0,0.0,0.0,0.06636170782590725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054389889333355666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.033850957319862e-05,0.0,0.0,0.06377307883282976,0.0,0.0,0.0,0.0,0.0,0.0,0.061928148923322004,0.0,0.0,0.0,0.07051817177871433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021319240721505317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06621328269791629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06075786241444578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045910561550674925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004215666396256074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04037057479731544,0.0,0.0,0.0,0.0,0.06374389595900325,0.06684312566676695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06496442940568917,0.0,0.0,0.0,0.0,0.0,0.0,0.017733519557921223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382440662096601,0.0,0.0,0.02657410416730522,0.0,0.0,0.0,0.0,0.0,0.0,0.054293140658854745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01262751508525279,0.07267701333777649,0.0,0.0,0.0,0.0,0.0659802900537104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05417498208076651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.134287079710048e-05,0.0,0.0,0.06539569306546601,0.0,0.0,0.0,0.0,0.0,0.0,0.06143961940294714,0.0,0.0,0.0,0.06996391007553392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02220506413463449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520857307725876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057770067474463324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043220798582990716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401523916368905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045004171484766216,0.0,0.0,0.0,0.0,0.06467511980908813,0.06602801845127276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390846823908403,0.0,0.0,0.0,0.0,0.0,0.0,0.018186939172649557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06419084794572338,0.0,0.0,0.029022295409120463,0.0,0.0,0.0,0.0,0.0,0.0,0.0550420025283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01289890543500327,0.07147667309358854,0.0,0.0,0.0,0.0,0.06471225689265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052970376085434034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81535957660018e-05,0.0,0.0,0.061468760036322886,0.0,0.0,0.0,0.0,0.0,0.0,0.06692842276149297,0.0,0.0,0.0,0.07224804186519151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020935868896098955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06501060764288669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05721185475098554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04245408437097607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004116651608602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694949566674715,0.0,0.0,0.0,0.0,0.061211006455430296,0.06580513526687243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369537698327493,0.0,0.0,0.0,0.0,0.0,0.0,0.01825248842295991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06905341960296377,0.0,0.0,0.0260898402350555,0.0,0.0,0.0,0.0,0.0,0.0,0.05186551753976956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013561858749886501,0.07318465809911368,0.0,0.0,0.0,0.0,0.06351908689565827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05558492039380963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.637505505015283e-05,0.0,0.0,0.06099538379649724,0.0,0.0,0.0,0.0,0.0,0.0,0.06763526624094895,0.0,0.0,0.0,0.07298383485824306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020723137364268743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-08 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659172818756216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06068016051450128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04136728024350406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004051328748954992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051959674525682314,0.0,0.0,0.0,0.0,0.06465273431437743,0.06574254252414928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06449437435492456,0.0,0.0,0.0,0.0,0.0,0.0,0.018498443446214118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06787587672327516,0.0,0.0,0.026103594892800282,0.0,0.0,0.0,0.0,0.0,0.0,0.052251827121454764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012784559010119823,0.07351965371724828,0.0,0.0,0.0,0.0,0.06377188321918695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05375975377852953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.887012586467135e-05,0.0,0.0,0.0633977907392438,0.0,0.0,0.0,0.0,0.0,0.0,0.06055808338714021,0.0,0.0,0.0,0.06735596072257176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021168326014635006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-09 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06620277337484755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057987457061298674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03869997313658026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004246069749216973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051279861466744694,0.0,0.0,0.0,0.0,0.06386018291012836,0.06591106118276614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473986026477116,0.0,0.0,0.0,0.0,0.0,0.0,0.017928505359399022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07044010441343514,0.0,0.0,0.02642766994547863,0.0,0.0,0.0,0.0,0.0,0.0,0.05538591061876253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013743617542410295,0.07428723744019611,0.0,0.0,0.0,0.0,0.06429172999456927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05279676959749249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.365488542640699e-05,0.0,0.0,0.06314965544874829,0.0,0.0,0.0,0.0,0.0,0.0,0.06122894379365224,0.0,0.0,0.0,0.06741777863884293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019881183175232697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-10 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06721607909552307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058776737675974536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408304370458577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004252698267289632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0730380028948099,0.0,0.0,0.0,0.0,0.04978560042803857,0.06397176175359807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06720273876572237,0.0,0.0,0.0,0.0,0.0,0.0,0.06499120917964321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01793661859118332,0.0,0.0,0.07105090942879484,0.0,0.0,0.0,0.0,0.0,0.0,0.028566550234263712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128821530517092,0.0143193123520125,0.0,0.0,0.0,0.0,0.06464280254222088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05088428079655542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83221827758898e-05,0.0,0.0,0.060497021655239146,0.0,0.0,0.0,0.0,0.0,0.0,0.062064227049742564,0.0,0.0,0.0,0.06904511248838782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019551362267195897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-11 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06782815159954253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058556919962527355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03930375898182936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004313354505184625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07342576923744361,0.0,0.0,0.0,0.0,0.04888539433770311,0.06425307059251541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06762200045389244,0.0,0.0,0.0,0.0,0.0,0.0,0.06490652086599845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017558549989031415,0.0,0.0,0.07110703603708377,0.0,0.0,0.0,0.0,0.0,0.0,0.029648007645980193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05507408345812677,0.014833195200383897,0.0,0.0,0.0,0.0,0.06502504898687625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046675748772579066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.161979619008987e-05,0.0,0.0,0.05940960139105543,0.0,0.0,0.0,0.0,0.0,0.0,0.06229078115513482,0.0,0.0,0.0,0.06987588492634482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019315502104576304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06324716963344004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054740516403651844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03528118349443888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036199958921469305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06930925630161096,0.0,0.0,0.0,0.0,0.04030093221409341,0.05938072299957563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062171610507448835,0.0,0.0,0.0,0.0,0.0,0.0,0.06105046771548045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016310982774726892,0.0,0.0,0.06787752109772476,0.0,0.0,0.0,0.0,0.0,0.0,0.026872385248400396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05160400928183799,0.014509182897425008,0.0,0.0,0.0,0.0,0.06945746619673783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05562837122973197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04714604020620026,0.0,0.0,6.937465174425037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.058867635786401855,0.0,0.0,0.0,0.058374395924030625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667143744025967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
