,ticker,company,reason_failed
0,WCG,"514    WellCare
Name: company, dtype: object",price
1,VIAB,"519    Viacom
Name: company, dtype: object",price
2,CELG,"520    Celgene
Name: company, dtype: object",price
3,TSS,"523    TSYS
Name: company, dtype: object",price
4,APC,"524    Anadarko Petroleum
Name: company, dtype: object",price
5,RHT,"526    Red Hat
Name: company, dtype: object",price
6,LLL,"527    L3 Technologies
Name: company, dtype: object",price
0,GOOG,"24    Alphabet Inc. (Class C)
Name: company, dtype: object",financials
1,BRK.B,"65    Berkshire Hathaway
Name: company, dtype: object",financials
2,DISCK,"145    Discovery Inc. (Class C)
Name: company, dtype: object",financials
3,FOX,"201    Fox Corporation (Class B)
Name: company, dtype: object",financials
4,NWS,"333    News Corp. Class B
Name: company, dtype: object",financials
5,UA,"458    Under Armour (Class C)
Name: company, dtype: object",financials
6,WCG,"514    WellCare
Name: company, dtype: object",financials
7,STI,"518    SunTrust Banks
Name: company, dtype: object",financials
8,VIAB,"519    Viacom
Name: company, dtype: object",financials
9,CELG,"520    Celgene
Name: company, dtype: object",financials
10,TSS,"523    TSYS
Name: company, dtype: object",financials
11,APC,"524    Anadarko Petroleum
Name: company, dtype: object",financials
12,RHT,"526    Red Hat
Name: company, dtype: object",financials
13,LLL,"527    L3 Technologies
Name: company, dtype: object",financials
