period,accountsPayable,accountsReceivableTradeNet,accruedExpenses,accumulatedDepreciationTotal,additionalPaidInCapital,cashEquivalents,cashandShortTermInvestments,commonStockTotal,currentPortofLTDebtCapitalLeases,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherCurrentliabilitiesTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,propertyPlantEquipmentTotalNet,retainedEarnings,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInventory,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalReceivablesNet,treasuryStockCommon,unrealizedGainLoss,costofRevenueTotal,dilutedAverageShares,dilutedEPS,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,provisionforIncomeTaxes,researchDevelopment,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,amortization,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,deferredTaxes,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,deferredIncomeTax,preferredStockNonRedeemableNet,depreciationAmortization,equityInAffiliates,otherRevenueTotal,totalAdjustmentstoNetIncome,minorityInterest,payableAccrued,gainLossonSaleofAssets,cash,redeemablePreferredStockTotal,deferredPolicyAcquisitionCosts,insuranceReceivables,otherAssetsTotal,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,realizedUnrealizedGainsLosses,totalPremiumsEarned,eSOPDebtGuarantee,totalPreferredSharesOutstanding,totalUtilityPlantNet,fuelExpense,operationsMaintenance,allowanceforFundsUsedDuringConst,cashDuefromBanks,customerLiabilityAcceptances,netLoans,otherBearingLiabilitiesTotal,otherEarningAssetsTotal,totalDeposits,totalShortTermBorrowings,interestIncomeBank,loanLossProvision,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,totalInterestExpense,cashPayments,cashReceipts,uSGAAPAdjustment
2020-06-30,1975.0,4459.0,748.0,-16854.0,6074.0,4219.0,4466.0,9.0,1486.0,13360.0,6033.0,19276.0,,58,,0.0,446.0,3073.0,-8286.0,7606.0,1651.0,0.0,567,25943.0,9929.0,42759.0,247.0,-14.81894,45079.0,576.01944,14106.0,7282.0,20762.0,10857.0,4168.0,34222.0,45079.0,19276.0,4459.0,-29699.0,,3750.0,580.8,1.74931,3426.0,,-128.0,3,1290.0,1287.0,1629.0,1740.0,17,,342.0,415.0,7176.0,1545.0,1686.0,-274.0,,-379.0,,,-2509.0,577.0,1905.0,388.0,12,492.0,-9.0,-7,-1740.0,86.0,-34.0,1287.0,-274.0,956.0,-846.0,MMM,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,2207.0,4821.0,767.0,-16835.0,6024.0,4253.0,4477.0,9.0,3248.0,13312.0,6191.0,19247.0,,62,,0.0,971.0,2912.0,-8414.0,7622.0,1605.0,0.0,604,26000.0,10014.0,42345.0,224.0,-16.26575,46212.0,575.19637,15090.0,9134.0,22495.0,10147.0,4217.0,36065.0,46212.0,19247.0,4821.0,-29817.0,,4100.0,581.5,2.36457,3975.0,9.0,-113.0,-2,1292.0,1294.0,1567.0,1663.0,17,,273.0,537.0,8075.0,1768.0,2312.0,-2.0,,-332.0,,,1108.0,-375.0,1213.0,-727.0,29,440.0,-36.0,-46,2207.0,-216.0,1900.0,1294.0,177.0,-43.0,-847.0,MMM,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,2228.0,4791.0,949.0,-16791.0,5907.0,2353.0,2921.0,9.0,2816.0,13444.0,6379.0,17518.0,,63,,0.0,249.0,3229.0,-8139.0,7682.0,1674.0,172.0,704,26124.0,10191.0,42135.0,568.0,-16.96846,44659.0,575.18484,12971.0,9222.0,20445.0,10063.0,4134.0,34596.0,44659.0,17629.0,4963.0,-29849.0,,4309.0,582.7,2.57594,3802.0,-38.0,-108.0,-1,969.0,970.0,1212.0,1289.0,31,,242.0,484.0,8111.0,1749.0,2513.0,318.0,,-538.0,,,-2451.0,-5299.0,2338.0,1008.0,-185,463.0,-39.0,34,-1530.0,-54.0,-5378.0,970.0,82.0,-4761.0,-828.0,MMM,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,2079.0,5020.0,910.0,-16617.0,5861.0,7731.0,7761.0,9.0,1978.0,10410.0,2847.0,17479.0,,62,,0.0,515.0,2854.0,-7388.0,6370.0,1548.0,0.0,717,25508.0,9725.0,42085.0,30.0,-4.44309,42550.0,575.05066,18020.0,7821.0,19573.0,10702.0,4007.0,31848.0,42550.0,17595.0,5020.0,-29865.0,,4182.0,583.0,2.46827,3809.0,6.0,-83.0,-5,1583.0,1588.0,1966.0,2011.0,38,,378.0,443.0,7991.0,1455.0,1798.0,-106.0,,-349.0,,,2804.0,90.0,2022.0,102.0,-14,379.0,-124.0,-34,3826.0,-70.0,4882.0,1588.0,-33.0,439.0,-828.0,MMM,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,2130.0,5374.0,851.0,-16567.0,5812.0,2849.0,2988.0,9.0,908.0,10574.0,2964.0,14914.0,,59,,0.0,440.0,3376.0,-7272.0,6527.0,1503.0,0.0,949,25565.0,9877.0,41362.0,139.0,-6.00578,38969.0,575.27905,14051.0,7265.0,15943.0,10083.0,4300.0,28886.0,38969.0,15035.0,5374.0,-29828.0,,4288.0,586.1,2.1754,3883.0,7.0,-255.0,-4,1127.0,1131.0,1446.0,1666.0,35,,315.0,465.0,8171.0,1597.0,2217.0,148.0,,-421.0,,,-1735.0,-10.0,1662.0,-106.0,-18,376.0,-17.0,-6,-638.0,-250.0,-89.0,1131.0,279.0,411.0,-830.0,MMM,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,435.7,515.9,248.1,,,442.7,568.7,,6.8,,873.5,274.3,,,,,53.8,44.8,1658.1,316.4,87.3,0.0,,,579.0,,126.0,4.57058,2984.2,171.66313,1444.4,735.4,281.1,1658.1,306.0,1326.1,2984.2,274.3,515.9,,,416.4,162.174,0.44738,247.5,2.5,,,67.8,67.8,87.0,87.0,,-4.0,19.2,,663.9,155.9,160.5,6.1,,-12.0,,,-96.4,-2.1999999999999993,125.20000000000002,36.1,,19.9,,,-61.4,3.799999999999997,26.6,67.8,1.4000000000000004,9.799999999999997,-38.8,AOS,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,442.0,524.0,203.6,-622.2,516.1,416.1,551.7,295.4,6.8,542.6,333.1,335.6,,,,0.0,54.5,46.7,-362.4,332.0,82.6,0.0,,1159.5,582.2,2336.1,135.6,4.31426,2983.0,171.66313,1442.5,699.1,342.4,1616.3,312.3,1366.7,2983.0,335.6,524.0,-1168.9,,397.4,162.89761,0.31738,239.5,2.2,,,51.7,51.7,67.7,67.7,,-4.2,16.0,,636.9,173.8,171.80000000000007,,,-12.8,,,-38.4,26.4,54.1,-26.7,,20.1,,,58.5,-57.9,42.1,51.7,9.0,39.2,-39.0,AOS,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,509.6,589.5,206.8,-611.5,509.0,374.0,551.4,295.4,6.8,546.0,338.4,277.2,,,,0.0,56.5,43.3,-348.3,347.5,80.9,0.0,,1156.9,592.3,2323.4,177.4,4.55776,3058.0,171.66313,1500.4,766.5,284.0,1666.8,303.0,1391.2,3058.0,277.2,589.5,-1112.7,,455.9,164.15693,0.55618,295.0,2.5,,,91.3,91.3,115.5,115.5,,-2.9,24.2,,750.9,179.9,179.5,0.0,,-14.100000000000009,,116.6,-131.3,109.69999999999999,176.2,63.699999999999996,,20.199999999999996,0.0,,-35.300000000000004,-56.79999999999998,154.6,91.30000000000001,1.0,123.8,-39.19999999999999,AOS,US,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,483.1,614.1,195.8,-593.9,507.3,219.4,513.8,295.4,6.8,547.4,339.5,312.4,,,,0.0,66.5,44.7,-361.6,368.9,84.7,0.0,,1137.5,591.9,2271.5,294.4,4.48145,3067.9,171.66313,1504.4,730.4,319.2,1656.2,310.0,1411.7,3067.9,312.4,614.1,-1056.4,,444.0,165.54325,0.52735,284.2,3.1,,,87.3,87.3,112.8,112.8,,-4.0,25.5,,728.2,172.3,171.39999999999998,0.0,,-13.799999999999997,,,-174.7,-23.799999999999997,136.3,27.80000000000001,,19.700000000000003,-1.0,,-39.400000000000006,-98.30000000000001,-62.199999999999996,87.29999999999998,1.5,-10.0,-36.0,AOS,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,488.4,634.8,191.7,-584.4,506.7,281.6,577.8,295.4,6.8,547.9,343.7,351.8,,,,0.0,60.9,43.7,-338.4,368.1,85.1,0.0,,1138.3,602.3,2220.2,296.2,4.85544,3175.6,171.66313,1596.6,730.6,358.6,1725.1,323.1,1450.5,3175.6,351.8,634.8,-958.8,,456.7,168.08627,0.60743,308.7,3.4,,,102.1,102.1,132.2,132.2,,-5.6,30.1,,765.4,178.7,176.50000000000006,0.0,,-15.600000000000001,,,-48.5,-129.8,122.1,-0.30000000000001137,,18.2,,,74.30000000000001,-85.89999999999999,-56.199999999999996,102.10000000000001,2.1000000000000014,-114.2,-36.9,AOS,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,3335.0,5140.0,5327.0,-9031.0,,4763.0,5037.0,23893.0,1290.0,23082.0,15783.0,18184.0,776,,,205.0,,802.0,-9080.0,8835.0,3571.0,0.0,1842,17374.0,8343.0,25669.0,274.0,-4.68052,68776.0,1770.53,17221.0,10959.0,19679.0,30578.0,5202.0,38198.0,68776.0,18184.0,5140.0,-9904.0,,3263.0,1785.04,0.29756,4065.0,,-124.0,,537.0,537.0,526.0,682.0,-32,,-11.0,564.0,7328.0,2275.0,3383.0,-9.0,553,-642.0,,,658.0,-619.0,1322.0,-155.0,,272.0,-11.0,25,1258.0,53.0,1386.0,537.0,115.0,23.0,-642.0,ABT,US,,,553,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,3181.0,5292.0,5168.0,-8800.0,,3377.0,3668.0,23731.0,1264.0,22927.0,16265.0,16804.0,790,,,204.0,364.0,991.0,-9386.0,8738.0,3390.0,0.0,1606,16707.0,7907.0,25786.0,291.0,-5.07337,66777.0,1768.84533,15498.0,10808.0,18272.0,30218.0,4568.0,36559.0,66777.0,16804.0,5292.0,-9913.0,,3277.0,1780.578,0.29683,4449.0,,-126.0,,564.0,544.0,633.0,808.0,-49,,89.0,576.0,7726.0,2522.0,3641.0,-18.0,561,-360.0,,,-735.0,-393.0,715.0,-910.0,,267.0,,-70,50.0,-147.0,-483.0,564.0,233.0,-33.0,-638.0,ABT,US,,,561,,,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,3252.0,5425.0,5183.0,-8761.0,,3860.0,4140.0,23853.0,1277.0,23195.0,17025.0,16661.0,883,,,201.0,148.0,950.0,-8465.0,9062.0,2145.0,0.0,1638,16799.0,8972.0,25847.0,280.0,-5.18127,67887.0,1762.50325,15667.0,10863.0,18139.0,31088.0,4316.0,36799.0,67887.0,16661.0,5425.0,-10147.0,0.0,3417.0,1781.591,0.64792,4897.0,,-137.0,,1049.0,1041.0,1240.0,1326.0,51,,199.0,567.0,8314.0,2386.0,3571.0,135.0,483,-434.0,,,-2185.0,-489.0,2416.0,279.0,,273.0,0.0,27,-1128.0,-489.0,-231.0,1049.0,332.0,-55.0,-568.0,ABT,US,,,483,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,3029.0,5450.0,5370.0,-8518.0,,4091.0,4335.0,23771.0,1254.0,23046.0,17465.0,17639.0,874,,,204.0,298.0,634.0,-7763.0,8390.0,2329.0,0.0,1644,16343.0,8706.0,25440.0,244.0,-4.91615,68539.0,1768.45571,16119.0,10491.0,19097.0,31817.0,4392.0,36722.0,68539.0,17639.0,5450.0,-9631.0,,3356.0,1784.167,0.5527,4720.0,,-150.0,,960.0,960.0,1103.0,1198.0,55,,143.0,594.0,8076.0,2414.0,3522.0,30.0,484,-401.0,,,-513.0,-432.0,1948.0,140.0,,270.0,,-49,10.0,46.0,954.0,960.0,94.0,-31.0,-569.0,ABT,US,,,484,,,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,3222.0,5548.0,4979.0,-8506.0,,3137.0,3376.0,23665.0,8.0,23329.0,18091.0,18982.0,851,,,204.0,179.0,649.0,-7365.0,8489.0,2286.0,0.0,1740,16331.0,8675.0,25045.0,239.0,-5.50753,68427.0,1767.39762,15195.0,9062.0,19194.0,31686.0,4352.0,36741.0,68427.0,18982.0,5548.0,-9659.0,0.0,3279.0,1781.417,0.56523,4700.0,,-142.0,,1006.0,1006.0,1102.0,1206.0,38,,96.0,577.0,7979.0,2433.0,3494.0,1.0,483,-468.0,,,-449.0,-498.0,1060.0,-1294.0,,268.0,,2,6.0,113.0,115.0,1006.0,597.0,-30.0,-568.0,ABT,US,,,483,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,6362.0,,-5289.0,15401.0,41142.0,41142.0,18.0,3756.0,15561.0,18203.0,63284.0,78,,,6.0,100.0,13.0,-3697.0,17900.0,2638.0,0.0,2310,8250.0,2961.0,5973.0,,-27.88631,91199.0,1476.67466,51758.0,16471.0,67046.0,-7415.0,1844.0,98614.0,91199.0,63284.0,6362.0,-25110.0,,1942.0,1484.0,2.03,6677.0,,-433.0,,3010.0,3010.0,3098.0,3603.0,-72,,88.0,1379.0,8619.0,1678.0,3074.0,17.0,444,-125.0,,,-2422.0,-129.0,3815.0,-86.0,,115.0,-28.0,-46,0.0,-631.0,1218.0,3010.0,332.0,-4.0,-1763.0,ABBV,US,959,,,,,-14,,12696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,5428.0,109.0,-5226.0,15193.0,39924.0,39924.0,18.0,3753.0,15604.0,18649.0,62955.0,93,,,0.0,22.0,58.0,-3596.0,17597.0,1944.0,0.0,2332,,3306.0,4717.0,0.0,-28.68664,89115.0,1478.91146,49519.0,15585.0,66728.0,-8172.0,1813.0,97287.0,89115.0,62975.0,5428.0,-24504.0,0.0,2054.0,1487.0,1.43589,6650.0,-48.0,-466.0,,2801.0,2801.0,3074.0,3956.0,-416,-10.0,273.0,1542.0,8704.0,1951.0,2694.0,-741.0,391,-163.0,,,26602.0,-615.0,3275.0,-322.0,,118.0,-220.0,14,28417.0,0.0,29276.0,2801.0,287.0,-452.0,-1595.0,ABBV,US,1130,,,,,-13,,11665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
