company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
1,A2A,Italy,IT0001233417,utilities,diversified utilities,EUR,EUR
2,ABB,Switzerland,CH0012221716,industrial,power nuclear and heavy engineering,CHF,CHF
4,ABI,Belgium,BE0974293251,consumer,beverage manufacturers,EUR,EUR
5,Credit Agricole,France,FR0000045072,services,banking,EUR,EUR
6,ACS,Spain,ES0167050915,construction,infrastructure construction and services,EUR,EUR
7,Adecco,Switzerland,CH0012138605,services,HR and recruitment,CHF,CHF
8,Admiral,UK,GB00B02J6398,services,insurance — general,GBP,GBP
9,Ahold Delhaize,Netherlands,NL0011794037,consumer,diversified wholesale and retail,EUR,EUR
10,Akzo Nobel,Netherlands,NL0000009132,chemicals,paints and coatings,EUR,EUR
11,Alfa Laval,Sweden,SE0000695876,industrial,industrial equipment and light machinery,SEK,SEK
12,Autoliv,USA,US0528001094,vehicles,auto parts and components,USD,USD
13,Allianz,Germany,DE0008404005,services,insurance — general,EUR,EUR
14,Carlyle Group,USA,US14309L1026,services,financial services,USD,USD
15,Acciona,Spain,ES0125220311,construction,infrastructure construction and services,EUR,EUR
17,Atlantia,Italy,IT0003506190,transport,roads tolls and traffic management,EUR,EUR
18,Antevenio,Spain,ES0109429037,media publishing,advertising — marketing — media — e—commerce,EUR,EUR
19,Astrazeneca,UK,GB0009895292,healthcare,pharmaceuticals and biosciences,GBP,GBP
20,Babcock,UK,GB0009697037,services,engineering and technical services,GBP,GBP
21,Baloise,Switzerland,CH0012410517,services,insurance — general,CHF,CHF
22,BASF,Germany,DE000BASF111,chemicals,chemicals and petrochemicals,EUR,EUR
23,BAT,UK,GB0002875804,consumer,tobacco,GBP,GBP
24,Bayer,Germany,DE000BAY0017,healthcare,pharmaceuticals and biosciences,EUR,EUR
25,BBVA,Spain,ES0113211835,services,banking,EUR,EUR
26,BCP,Portugal,PTBCP0AM0007,services,banking,EUR,EUR
27,Befimmo,Belgium,BE0003678894,real estate,office commercial and industrial real estate,EUR,EUR
28,Proximus,Belgium,BE0003810273,telecommunications,diversified telecommunications,EUR,EUR
29,ENEL,Italy,IT0003128367,utilities,diversified utilities,EUR,EUR
30,Beazley,UK,JE00B64G9089,services,insurance — general,GBP,GBP
31,Berkeley Group,UK,GB00B02L3W35,real estate,residential real estate,GBP,GBP
32,Bloomsbury,UK,GB0033147751,media publishing,publishing and printing,GBP,GBP
33,British Land,UK,GB0001367019,real estate,office commercial and industrial real estate,GBP,GBP
34,BMW,Germany,DE0005190003,vehicles,car truck and bus manufacturers,EUR,EUR
35,BNP,France,FR0000131104,services,banking,EUR,EUR
36,Boskalis,Netherlands,NL0000852580,industrial,marine salvage dredging offshore services,EUR,EUR
37,BP,UK,GB0007980591,primary production,oil and gas,GBP,GBP
38,3i Infrastrct,UK,JE00BF5FX167,construction,infrastructure construction and services,GBP,GBP
39,BT,UK,GB0030913577,telecommunications,diversified telecommunications,GBP,GBP
40,Caixabank,Spain,ES0140609019,services,banking,EUR,EUR
41,CEZ AS,Czech Republic,CZ0005112300,utilities,electricity distribution and generation,CZK,CZK
42,Domino Pizza AU,Australia,AU000000DMP0,consumer,restaurants,AUD,AUD
43,Carillion,UK,GB0007365546,construction,construction — industrial and diversified,GBP,GBP
44,Centrica,UK,GB00B033F229,utilities,diversified utilities,GBP,GBP
45,Cofinimmo,Belgium,BE0003593044,real estate,diversified real estate,EUR,EUR
