,ticker,robur_code
0,5.HK,81
1,11.HK,1688
2,388.HK,1694
3,939.HK,N/A
4,1299.HK,1682
5,1398.HK,N/A
6,2318.HK,N/A
7,2388.HK,1687
8,2628.HK,N/A
9,3328.HK,N/A
10,3988.HK,N/A
11,2.HK,1693
12,3.HK,1692
13,6.HK,1696
14,1038.HK,8066
15,12.HK,1697
16,16.HK,1685
17,17.HK,N/A
18,83.HK,1709
19,101.HK,1700
20,688.HK,1689
21,823.HK,N/A
22,1109.HK,1837
23,1113.HK,3727
24,1997.HK,N/A
25,2007.HK,1839
26,1.HK,3337
27,19.HK,1704
28,27.HK,1683
29,66.HK,1691
30,151.HK,1833
31,175.HK,1860
32,267.HK,1720
33,288.HK,5492
34,338.HK,N/A
35,669.HK,1719
36,700.HK,1829
37,762.HK,1686
38,857.HK,N/A
39,883.HK,1680
40,941.HK,1679
41,1044.HK,1838
42,1088.HK,N/A
43,1093.HK,1724
44,1177.HK,1856
45,1928.HK,1830
46,2018.HK,1848
47,2313.HK,1852
48,2319.HK,1841
49,2382.HK,1937
50,SPT.L,3824
51,MSLH.L,3793
52,GNC.L,3454
53,GRG.L,3671
54,FGP.L,3667
55,AGK.L,1349
56,ASCL.L,4628
57,PAY.L,3805
58,FDM.L,3666
59,UDG.L,3464
60,FOUR.L,3720
61,TRN.L,N/A
62,WMH.L,3735
63,SVS.L,3715
64,TEP.L,3828
65,AML.L,N/A
66,CLI.L,N/A
67,IMI.L,2432
68,HTWS.L,N/A
69,JDW.L,4456
70,CRST.L,4573
71,SSPG.L,N/A
72,CSP.L,4582
73,888.L,4662
74,NETW.L,N/A
75,SHB.L,3717
76,MGAM.L,100
77,PLUS.L,4224
78,FUTR.L,N/A
79,DPLM.L,3764
80,PIN.L,N/A
81,IWG.L,3707
82,DNLM.L,3662
83,MKS.L,1399
84,NEX.L,3695
85,ROR.L,3712
86,SMWH.L,3734
87,RSW.L,3708
88,BBOX.L,4587
89,PCT.L,N/A
90,HILS.L,3777
91,RHIM.L,3050
92,PAGE.L,3689
93,AJB.L,3737
94,JUST.L,3787
95,TUI.L,3451
96,MAB.L,3692
97,BWY.L,1513
98,TRY.L,N/A
99,DPH.L,3762
100,ASHM.L,3640
101,RMG.L,2436
102,HWDN.L,4478
103,VSVS.L,161
104,INCH.L,3680
105,SRE.L,4648
106,VTY.L,3648
107,PRTC.L,4232
108,TPK.L,2521
109,PTEC.L,3701
110,WIZZ.L,3832
111,EWI.L,N/A
112,VVO.L,137
113,GNS.L,3774
114,HFG.L,4175
115,OSB.L,3803
116,TALK.L,4556
117,WWH.L,N/A
118,CKN.L,3751
119,OXIG.L,4217
120,IBST.L,4638
121,CWK.L,3757
122,BVIC.L,3649
123,SXS.L,3721
124,WKP.L,3833
125,DOM.L,N/A
126,RDW.L,N/A
127,SOI.L,N/A
128,CPI.L,1428
129,OXB.L,N/A
130,HSL.L,N/A
131,GRI.L,3669
132,BME.L,8506
133,GAW.L,4163
134,DLG.L,3660
135,MNKS.L,N/A
136,PLP.L,3809
137,HAS.L,3673
138,BBY.L,1502
139,EMG.L,N/A
140,TATE.L,150
141,DRX.L,55
142,DLN.L,2528
143,XPP.L,4291
144,LWDB.L,5005
145,LIO.L,4194
146,MGNS.L,4207
147,MONY.L,3694
148,BRSC.L,N/A
149,JAM.L,N/A
150,WEIR.L,165
151,PSSL.L,N/A
152,AO..L,4590
153,CLSN.L,N/A
154,HGT.L,N/A
155,AGR.L,3740
156,GYS.L,4916
157,WTAN.L,N/A
158,RCP.L,N/A
159,SBRE.L,5288
160,MCRO.L,N/A
161,HICL.L,N/A
162,IHP.L,4859
163,PSH.L,N/A
164,SCT.L,4644
165,EQN.L,4637
166,BNKR.L,N/A
167,HSX.L,83
168,CLDN.L,N/A
169,ATST.L,N/A
170,NESF.L,N/A
171,TRIG.L,4654
172,IEM.L,N/A
173,GCP.L,N/A
174,GFTU.L,3463
175,GSS.L,N/A
176,3IN.L,38
177,VOF.L,1316
178,BBH.L,N/A
179,FCIT.L,N/A
180,BRW.L,3744
181,PETS.L,3699
182,FSV.L,N/A
183,LXI.L,N/A
184,SSON.L,N/A
185,MGGT.L,2434
186,PHP.L,3811
187,MRC.L,N/A
188,ECM.L,3766
189,FGT.L,N/A
190,ASL.L,N/A
191,INPP.L,N/A
192,BBGI.L,4161
193,FSFL.L,N/A
194,DIGS.L,4571
195,CCR.L,3459
196,CCL.L,N/A
197,GPOR.L,N/A
198,JLEN.L,N/A
199,CHG.L,4551
200,QQ..L,3704
201,BEZ.L,N/A
202,VEIL.L,N/A
203,DC..L,4555
204,BYG.L,3646
205,ESNT.L,4518
206,COA.L,3754
207,QLT.L,N/A
208,BIFF.L,4167
209,HRI.L,N/A
210,BAG.L,4565
211,PNL.L,N/A
212,ATT.L,N/A
213,CCC.L,3755
214,JFJ.L,N/A
215,PAG.L,4548
216,BCPT.L,N/A
217,JEO.L,N/A
218,IPO.L,3684
219,SAFE.L,3818
220,HVPE.L,N/A
221,MYI.L,N/A
222,HSTG.L,4632
223,TIFS.L,5368
224,SEQI.L,N/A
225,SDP.L,N/A
226,PZC.L,3703
227,PPH.L,4227
228,N91.L,N/A
229,LMP.L,3687
230,JLG.L,3786
231,FSJ.L,4467
232,FEV.L,N/A
233,ENOG.L,N/A
234,EDIN.L,N/A
235,MDC.L,2360
236,IGG.L,3679
237,AVON.L,4115
238,FRAS.L,2518
239,UKCM.L,N/A
240,SNN.L,4249
