period,accountsReceivableTradeNet,additionalPaidInCapital,cashEquivalents,cashandShortTermInvestments,commonStockTotal,currentPortofLTDebtCapitalLeases,deferredIncomeTax,intangiblesNet,longTermDebt,longTermInvestments,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherCurrentliabilitiesTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,otherReceivables,payableAccrued,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInventory,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalReceivablesNet,unrealizedGainLoss,costofRevenueTotal,depreciationAmortization,dilutedAverageShares,dilutedEPS,grossProfit,interestIncExpNetNonOperatingTotal,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,operatingIncome,otherNonOperatingIncExpNet,provisionforIncomeTaxes,researchDevelopment,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,amortization,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,cash,minorityInterest_x,totalPreferredSharesOutstanding,treasuryStockCommon,gainLossonSaleofAssets,interestExpIncNetOperatingTotal,minorityInterest_y,otherOperatingExpensesTotal,totalAdjustmentstoNetIncome,accountsPayable,shortTermInvestments,accruedExpenses,accumulatedDepreciationTotal,goodwillNet,prepaidExpenses,propertyPlantEquipmentTotalGross,eSOPDebtGuarantee,preferredStockNonRedeemableNet,otherRevenueTotal,redeemablePreferredStockTotal,insuranceReceivables,otherAssetsTotal,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,realizedUnrealizedGainsLosses,totalPremiumsEarned,minorityInterest,deferredTaxes,cashDuefromBanks,customerLiabilityAcceptances,netLoans,otherEarningAssetsTotal,totalDeposits,interestIncomeBank,loanLossProvision,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,totalInterestExpense,deferredPolicyAcquisitionCosts,cashPayments,cashReceipts,totalUtilityPlantNet,otherBearingLiabilitiesTotal,totalShortTermBorrowings,equityInAffiliates
2019-12-31,143.3,26.6,183.2,183.2,26.8,8.5,,160.3,,0.0,7.2,0.0,0.1,61.8,10.1,23.5,34.0,0.5,84.1,55.5,338.8,0.39562,604.7,611.7,347.7,154.4,33.0,402.3,20.6,202.4,604.7,24.5,143.8,,74.1,0.4,617.3,0.09849,212.1,0.4,61.4,61.4,70.9,70.5,,9.5,48.0,286.2,93.7,141.6,-0.5,0.9000000000000001,-6.5,1.7,2.8999999999999995,-19.8,-3.9000000000000004,64.8,-19.5,10.899999999999999,-1.7,0.3,-3.6999999999999993,-2.5,41.400000000000006,70.89999999999999,1.6,2.6,-11.900000000000002,SPT.L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,107.0,25.7,141.8,141.8,25.9,9.2,,159.5,0.0,,7.6,0.0,,65.6,8.9,24.9,32.1,2.299999999999997,59.3,57.5,291.9,0.31535,535.1,611.7,278.4,134.1,32.9,352.4,27.3,182.7,535.1,23.7,109.3,,60.9,0.8,617.5,0.02818,156.5,0.6,16.6,16.6,18.7,18.1,,2.1,48.5,217.4,89.0,138.4,0.1,1.2,-6.4,,2.7,-27.7,-6.9,54.5,21.8,11.3,,0.3,-4.9,-6.1,20.2,18.7,1.5,-0.5,-16.7,SPT.L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,69.418,24.482,53.258,53.258,50.013,29.736,18.307,95.799,51.274,,,0.0,0.62,11.234,0.559,2.649,18.668,0.0,121.379,235.568,221.38,0.99596,562.569,200.05216,212.534,162.349,113.234,295.043,89.238,267.526,562.569,83.498,69.418,,95.513,14.271,199.96078,0.14583,166.212,-1.803,28.14,27.874,32.761,34.659,-0.095,4.887,,261.725,64.036,131.553,1.198,1.24,-12.843000000000002,2.4530000000000003,3.798,-9.229,-12.422,63.843,14.508999999999997,13.031,0.0,-0.10300000000000001,0.1720000000000006,0.0,42.089,27.874000000000002,7.189000000000002,0.42100000000000004,-9.401000000000003,MSLH.L,L,,0.723,,-1.391,,,0.266,52.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,101.923,24.532,11.169,11.169,50.017,31.476,18.328,89.727,44.688,,,0.0,0.43,11.635,0.401,6.462,23.008,0.0,127.025,230.97,203.601,0.93688,550.487,200.04448,206.782,170.136,108.866,277.145,93.26,273.342,550.487,77.39,101.923,,103.458,15.923,199.72602,0.15027,176.649,-1.483,30.1,30.037,37.092,39.022,-0.447,7.055,,280.107,65.789,137.627,-0.108,1.183,-10.065,0.74,5.225,-48.869,-9.956,24.282,-31.493,14.74,0.0,0.003,-23.822,-1.245,-34.54,30.037,9.815,0.109,-23.802,MSLH.L,L,,1.026,,-1.406,,,0.063,56.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,171.3,0.4,34.5,34.5,4.5,14.3,6.4,480.9,345.6,7.1,,0.0,,15.4,,113.2,88.3,0.5,335.5,390.3,331.7,-0.32344,1220.9,446.14615,254.3,365.2,408.9,336.6,48.0,884.3,1220.9,394.6,171.8,,475.7,2.7,445.056,0.05325,237.0,-7.3,23.3,24.2,27.3,35.6,-1.0,3.1,,712.7,,201.40000000000003,0.0,5.3,-21.1,7.5,4.2,-6.9,-20.8,20.8,-33.5,22.9,-2.4,-0.2,11.9,0.3,-7.1,27.3,-1.2,0.3,-16.7,GNC.L,L,,4.9,,,,,-0.9,198.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,173.8,0.1,41.6,41.6,4.5,0.0,6.9,483.3,330.1,7.0,,0.0,0.0,20.5,,142.1,79.0,0.6999999999999886,358.4,332.5,294.8,-0.41233,1163.8,446.00658,262.0,378.9,330.1,299.4,45.9,864.4,1163.8,330.1,174.5,,504.6,0.5,446.262,0.0968,240.1,-6.5,40.9,42.6,50.7,58.5,-1.3,8.1,,744.7,,181.60000000000002,1.8,2.3,-25.300000000000004,7.699999999999999,1.9,14.199999999999932,-80.0,91.60000000000001,19.9,16.9,0.0,0.3,25.0,0.10000000000002274,26.1,50.699999999999996,1.7999999999999972,-54.69999999999993,-10.899999999999999,GNC.L,L,,6.4,,,,,-0.9,179.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,182.6,0.0,15.5,15.5,4.5,0.0,3.9,423.5,299.6,7.5,,0.0,0.0,15.0,,126.9,54.0,0.0,335.5,324.6,262.0,-0.35204,1052.7,445.96733,243.1,350.5,299.6,266.5,45.0,786.2,1052.7,299.6,182.6,,467.8,0.4,620.854,0.04574,233.6,-8.9,65.1,0.8,5.7,15.9,-1.3,4.9,,701.4,,217.7,28.4,2.2,-18.9,9.2,1.6,-809.9,793.0,-4.9,-62.3,16.0,-14.8,0.3,-246.1,-509.6,-21.5,5.7,33.5,811.9,-39.4,GNC.L,L,,5.3,,,,,-1.3,188.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,23.5,14.8,52.9,122.9,2.0,54.5,,16.0,,,,150.0,,5.6,,21.9,4.7,4.899999999999999,,618.3,267.0,2.64329,811.1,101.31301,172.1,280.8,429.1,283.8,20.8,527.3,811.1,224.6,28.4,,122.2,,100.80018,-0.47827,178.4,-3.0,-53.8,-53.8,-65.2,-62.2,,-11.4,,300.6,239.9,240.60000000000002,0.7,2.0,-37.3,3.3,5.7,133.4,-106.2,-65.6,-68.0,53.5,,,131.2,2.2,-38.4,-53.8,0.7,-68.9,0.0,GRG.L,L,,,,,,,,,,70.7,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-28,27.1,13.5,91.3,91.3,2.0,48.8,,16.8,,,,0.0,,17.6,,6.4,3.3,0.0,,626.4,331.3,3.26229,788.8,101.1559,142.3,208.7,275.7,346.8,23.9,442.0,788.8,226.9,27.1,,222.339,,102.35184,0.59894,399.229,-3.303,57.836,57.836,71.602,74.905,,13.766,,621.568,322.309,324.324,2.015,2.032,-49.571999999999996,3.308,10.963000000000001,-75.851,-48.638000000000005,129.882,-0.43299999999999983,52.806000000000004,,,-23.993000000000002,-4.591,5.393000000000001,57.836,17.641000000000002,0.9339999999999999,-47.266999999999996,GRG.L,L,,,,,,,,,,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-29,23.035,13.533,85.904,85.904,2.023,47.408,0.0,16.941,,,,0.0,,16.605,,16.657,3.942,0.0,,607.524,319.972,3.14947,760.009,101.1559,131.602,178.198,277.034,335.528,22.663,424.481,760.009,229.626,23.035,,189.961,,102.28538,0.33889,356.371,-3.197,29.164,29.164,36.698,39.895,,7.534,,546.332,312.691,316.476,3.785,1.768,-39.528,3.292,9.337,-52.749,-38.762,89.218,-11.867,54.094,,,-25.607,-2.309,-2.293,29.164,16.059,0.766,-24.833,GRG.L,L,,,,,,,,,,114.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
