period,accountsPayable,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsReceivableTradeNet,accumulatedDepreciationTotal,cashEquivalents,cashandShortTermInvestments,currentPortofLTDebtCapitalLeases,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,totalCurrentAssets,totalCurrentLiabilities,totalInventory,totalReceivablesNet,costofRevenueTotal,depreciationAmortization,gainLossonSaleofAssets,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,cash,shortTermInvestments,treasuryStockCommon,insuranceReceivables,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,totalPremiumsEarned,cashPayments,cashReceipts,researchDevelopment,minorityInterest,payableAccrued,amortization
2020-06-30,4635.0,2238.0,,212247.69999999998,8622.0,,2147.0,,8986.0,1154154.0,285.0,,2122012.0,24085.0,,1650664.31,6697.0,1240976.0,2655.0,13379.0,149181.0,182.40019,4061603.0,852.59779,1159295.0,1487812.0,164500.0,3897103.0,4061603.0,1159295.0,,,847.69231,2.6,15938.0,1099.0,,2325.0,2325.0,3112.0,6478.0,7577.0,-34054.0,30688.0,787.0,-121.0,8361.0,-278.0,358.0,782.0,-6151.0,-271.0,43002.0,39497.0,,-359.0,156.0,-5792.0,,36736.0,3112.0,393.0,7.0,0.0,DANSKE.CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,7026.0,1814.0,,187766.59999999998,8622.0,,2179.0,,9097.0,1145607.0,295.0,,2082113.0,34231.0,,1654984.98,11670.0,1276799.0,1372.0,13690.0,146723.0,185.01316,4007691.0,853.55011,1150873.0,1401985.0,167015.0,3840676.0,4007691.0,1150873.0,,,856.77326,-1.73208,18337.0,4344.0,,-1289.0,-1289.0,-1663.0,1923.0,6267.0,-17234.0,13648.0,-374.0,-195.0,12070.0,-293.0,33.0,1795.0,9823.0,-288.0,59433.0,55400.0,,-33.0,-2730.0,9856.0,,66238.0,-1663.0,5696.0,5.0,0.0,DANSKE.CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,6833.0,1993.0,,143296.3,8622.0,,2172.0,,9165.0,1177643.0,341.0,,2150059.0,21345.0,,1400731.89,13865.0,1100403.0,3604.0,14084.0,148021.0,188.99153,3761050.0,853.70492,1183169.0,1295972.0,170508.0,3590542.0,3761050.0,1183169.0,,,855.82413,6.4366,18486.0,598.0,,5040.0,5040.0,1260.0,6555.0,7153.0,-25636.0,20341.0,-3780.0,-197.0,11333.0,-528.0,359.0,1368.0,8216.0,-507.0,-24060.0,-31324.0,,-359.0,945.0,8591.0,0.0,-15406.0,1260.0,6004.0,21.0,-16.0,DANSKE.CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,6873.0,2788.0,,152614.69999999998,8622.0,,8445.0,,11070.0,1208123.0,365.0,,2162803.0,26769.0,,1571780.41,13658.0,1237196.0,3706.0,13988.0,143184.0,180.82725,3962718.0,853.82042,1213855.0,1328097.0,165464.0,3797254.0,3962718.0,1213855.0,,,852.72727,3.3,17248.0,292.0,,3011.0,3011.0,3793.0,6540.0,6832.0,-14533.0,11786.0,782.0,-197.0,10416.0,-348.0,34.0,450.0,12501.0,-347.0,-90636.0,-96354.0,,-34.0,856.0,12525.0,,-77626.0,3793.0,1925.0,1.0,10.0,DANSKE.CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,5698.0,2697.0,,205789.5,8622.0,,7793.0,,11119.0,1171734.0,385.0,,2073430.0,24806.0,,1418602.85,13906.0,1082159.0,3770.0,14048.0,140460.0,177.82368,3778409.0,854.0426,1177570.0,1339504.0,162988.0,3615421.0,3778409.0,1177570.0,,,852.22222,3.20823,15925.0,221.0,,4032.0,4032.0,4757.0,6760.0,6981.0,-20191.0,18188.0,725.0,-196.0,8944.0,-432.0,358.0,1197.0,5481.0,1240.0,10006.0,5729.0,,-358.0,-1509.0,5822.0,0.0,15218.0,4757.0,-480.0,1672.0,17.0,DANSKE.CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,17149.0,,,,3051.0,,6503.0,,69805.0,19714.0,4364.0,2587,,,12050,,-33652.0,16392.0,1938.0,27886.0,74049.0,-178.09216,123120.0,147.99641,24991.0,,43448.0,79672.0,123120.0,20879.0,,,150.031,21.46662,,,-444,3490.0,3934.0,5375.0,,,,,1441.0,,,-2285.0,571.0,1135.0,-5786.0,-937.0,5743.0,-1320.0,2376,-1863.0,28.0,-1572.0,-2351.0,-952.0,5294.0,-607.0,1348.0,0.0,CARL-B.CO,CO,5339.0,,5222.0,5222.0,4112.0,1179.0,0.0,,1860.0,776.0,,17948.0,33311.0,4751.0,7199.0,16601.0,,-407.0,16311.0,-141.0,-170.0,6069.0,-117.0,-82.0,32912.0,11240.0,10242.0,-775.0,,,,,,,,,,,,,,,,
2019-06-30,18711.0,,,,3051.0,,20959.0,,68760.0,16740.0,7338.0,2476,,,12778,,-34550.0,,,27841.0,75706.0,-163.19511,125417.0,150.45181,26286.0,,44207.0,81210.0,125417.0,18046.0,,,152.425,19.56307,,,-464,3079.0,3543.0,4853.0,,,,,1310.0,,,-2307.0,462.0,1099.0,-4507.0,-1340.0,6496.0,-683.0,2166,-657.0,18.0,637.0,-1749.0,667.0,5171.0,-158.0,967.0,-2738.0,CARL-B.CO,CO,6878.0,,6125.0,6125.0,8240.0,,0.0,,3357.0,,,21478.0,39729.0,5118.0,10235.0,16663.0,,407.0,16327.0,-137.0,-296.0,4897.0,-155.0,-26.0,32990.0,11319.0,11430.0,274.0,,,,,,,,,,,,,,,,
2019-12-31,1018.119,,772.673,,100.2,,546.128,2335.12,2180.982,2153.807,145.499,9.449,,,939.903,,-26.971,105.292,,2500.946,2251.145,-28.83292,8492.54,49.21649,2776.602,,3097.047,5395.493,8492.54,2153.807,,,51.2767,4.34271,,,0.224,222.68,222.456,266.734,,,,,44.278,,,-115.75900000000001,11.642,145.54600000000002,-83.22400000000005,-157.312,197.2449999999999,-164.5,91.607,0.0,0.26,-21.042,-62.18199999999996,-43.03099999999999,222.4559999999999,47.68199999999996,-41.553,0.0,RBREW.CO,CO,735.864,,,71.985,622.795,,0.0,,0.0,59.471,,1329.993,2580.817,462.673,735.864,878.825,,,908.622,,-0.464,267.198,,,1787.447,641.424,641.424,,71.985,,,,,,,,,,,,,,,
2019-09-30,1157.567,,772.673,,100.2,,539.723,2288.901,2190.046,2221.672,136.942,9.673,,,1065.956,,-42.81,100.72,,2473.23,2093.919,-31.02701,8594.099,50.11649,2796.478,,2923.982,5670.117,8594.099,2221.672,,,48.42295,7.8,,,0.65,377.699,377.049,491.177,,,,,114.128,,,-84.12099999999998,8.415000000000003,25.072000000000003,-405.525,-59.990999999999985,490.778,-83.77099999999999,81.28300000000002,0.0,0.619,-293.116,-112.40899999999999,25.880999999999997,377.049,116.21700000000001,24.129999999999995,0.0,RBREW.CO,CO,804.631,,,115.016,574.806,,0.0,,0.0,58.965,,1504.98,2798.329,526.368,804.631,951.426,,,1162.546,,-0.911,492.088,,,2113.972,670.458,670.458,,115.016,,,,,,,,,,,,,,,
2019-06-30,1345.728,,772.673,,100.2,,541.105,2288.995,2181.474,2541.299,136.488,10.323,,,1174.395,,-45.405,93.514,,2491.894,1824.939,-36.04321,8906.83,50.44118,3089.358,,2652.407,6254.423,8906.83,2541.299,,,49.74628,7.8,,,0.15,388.021,387.871,499.884,,,,,112.013,,,-55.742000000000004,8.617999999999999,110.113,-819.5450000000001,-45.603999999999985,815.164,229.74299999999997,83.23899999999999,0.0,-0.33699999999999997,-96.59100000000007,-184.95800000000003,-50.321999999999996,387.87100000000004,114.311,10.138000000000034,-537.996,RBREW.CO,CO,1124.574,,,89.135,548.059,,0.0,,0.0,49.967,,1807.979,3068.182,544.303,1124.574,1041.564,,,1228.272,,0.94,498.944,,,2269.836,729.328,729.328,,89.135,,,,,,,,,,,,,,,
